{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 4, 'dayOfWeek': 6, 'hour': 16, 'min': 48, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 21, 'min': 5, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 21, 'min': 34, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 6, 'dayOfWeek': 1, 'hour': 22, 'min': 2, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 8, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 8, 'min': 28, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 9, 'min': 47, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 10, 'min': 37, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 10, 'min': 59, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 11, 'min': 49, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 12, 'min': 23, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 13, 'min': 45, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 14, 'min': 22, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 15, 'min': 36, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 16, 'min': 23, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 17, 'min': 13, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 18, 'min': 33, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 18, 'min': 53, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 20, 'min': 5, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 21, 'min': 6, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 7, 'dayOfWeek': 2, 'hour': 21, 'min': 47, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 8, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 8, 'min': 26, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 8, 'min': 52, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 10, 'min': 4, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 10, 'min': 54, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 11, 'min': 31, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 12, 'min': 53, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 14, 'min': 19, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 15, 'min': 8, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 16, 'min': 6, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 17, 'min': 1, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 18, 'min': 23, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 18, 'min': 48, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 19, 'min': 47, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 20, 'min': 28, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 8, 'dayOfWeek': 3, 'hour': 21, 'min': 58, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 8, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 8, 'min': 47, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 9, 'min': 19, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 10, 'min': 0, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 10, 'min': 22, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 11, 'min': 19, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 12, 'min': 2, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 12, 'min': 27, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 13, 'min': 37, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 14, 'min': 39, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 16, 'min': 7, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 16, 'min': 40, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 17, 'min': 13, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 17, 'min': 53, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 18, 'min': 24, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 19, 'min': 7, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 19, 'min': 31, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 20, 'min': 53, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 9, 'dayOfWeek': 4, 'hour': 21, 'min': 20, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 10, 'dayOfWeek': 5, 'hour': 8, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 10, 'dayOfWeek': 5, 'hour': 9, 'min': 9, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 10, 'dayOfWeek': 5, 'hour': 9, 'min': 59, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 10, 'dayOfWeek': 5, 'hour': 11, 'min': 13, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 10, 'dayOfWeek': 5, 'hour': 11, 'min': 54, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 10, 'dayOfWeek': 5, 'hour': 13, 'min': 17, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 10, 'dayOfWeek': 5, 'hour': 13, 'min': 58, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 10, 'dayOfWeek': 5, 'hour': 14, 'min': 35, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 10, 'dayOfWeek': 5, 'hour': 14, 'min': 59, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 10, 'dayOfWeek': 5, 'hour': 15, 'min': 33, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 10, 'dayOfWeek': 5, 'hour': 16, 'min': 53, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 11, 'dayOfWeek': 6, 'hour': 10, 'min': 30, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 11, 'dayOfWeek': 6, 'hour': 11, 'min': 48, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 11, 'dayOfWeek': 6, 'hour': 12, 'min': 14, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 11, 'dayOfWeek': 6, 'hour': 13, 'min': 7, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 11, 'dayOfWeek': 6, 'hour': 14, 'min': 28, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 11, 'dayOfWeek': 6, 'hour': 15, 'min': 19, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 11, 'dayOfWeek': 6, 'hour': 16, 'min': 33, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 12, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 13, 'min': 5, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 14, 'min': 11, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 15, 'min': 38, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 16, 'min': 5, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 16, 'min': 35, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 17, 'min': 38, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 18, 'min': 35, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 19, 'min': 34, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 20, 'min': 17, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 21, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 12, 'dayOfWeek': 0, 'hour': 22, 'min': 15, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 8, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 8, 'min': 21, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 9, 'min': 19, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 10, 'min': 33, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 12, 'min': 3, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 12, 'min': 32, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 13, 'min': 24, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 14, 'min': 17, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 15, 'min': 23, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 16, 'min': 49, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 17, 'min': 52, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 18, 'min': 36, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 19, 'min': 59, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 21, 'min': 22, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 13, 'dayOfWeek': 1, 'hour': 21, 'min': 56, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 8, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 8, 'min': 55, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 9, 'min': 32, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 10, 'min': 37, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 11, 'min': 24, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 12, 'min': 45, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 13, 'min': 51, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 14, 'min': 16, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 14, 'min': 54, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 16, 'min': 22, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 17, 'min': 39, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 18, 'min': 21, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 19, 'min': 50, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 20, 'min': 34, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 21, 'min': 5, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 21, 'min': 45, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 14, 'dayOfWeek': 2, 'hour': 22, 'min': 17, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 8, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 9, 'min': 29, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 10, 'min': 35, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 11, 'min': 38, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 13, 'min': 4, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 13, 'min': 54, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 14, 'min': 36, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 15, 'min': 47, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 16, 'min': 55, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 17, 'min': 48, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 19, 'min': 11, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 20, 'min': 34, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 15, 'dayOfWeek': 3, 'hour': 21, 'min': 44, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 8, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 8, 'min': 44, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 9, 'min': 47, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 10, 'min': 52, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 11, 'min': 56, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 12, 'min': 30, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 13, 'min': 18, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 13, 'min': 40, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 14, 'min': 44, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 15, 'min': 43, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 16, 'min': 26, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 17, 'min': 43, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 18, 'min': 56, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 19, 'min': 28, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 20, 'min': 13, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 20, 'min': 52, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 21, 'min': 40, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 16, 'dayOfWeek': 4, 'hour': 22, 'min': 25, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 8, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 8, 'min': 29, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 9, 'min': 30, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 10, 'min': 28, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 10, 'min': 59, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 11, 'min': 58, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 12, 'min': 29, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 13, 'min': 8, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 13, 'min': 34, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 14, 'min': 20, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 15, 'min': 15, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 15, 'min': 35, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 16, 'min': 23, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 16, 'min': 45, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 17, 'dayOfWeek': 5, 'hour': 17, 'min': 38, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 18, 'dayOfWeek': 6, 'hour': 10, 'min': 30, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 18, 'dayOfWeek': 6, 'hour': 11, 'min': 13, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 18, 'dayOfWeek': 6, 'hour': 11, 'min': 37, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 18, 'dayOfWeek': 6, 'hour': 12, 'min': 44, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 18, 'dayOfWeek': 6, 'hour': 14, 'min': 8, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 18, 'dayOfWeek': 6, 'hour': 15, 'min': 23, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 18, 'dayOfWeek': 6, 'hour': 16, 'min': 52, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 19, 'dayOfWeek': 0, 'hour': 12, 'min': 0, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 19, 'dayOfWeek': 0, 'hour': 12, 'min': 33, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 19, 'dayOfWeek': 0, 'hour': 13, 'min': 31, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 19, 'dayOfWeek': 0, 'hour': 14, 'min': 43, 'available': 0}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 19, 'dayOfWeek': 0, 'hour': 15, 'min': 55, 'available': 1}
{'seatNo': 74, 'year': 2020, 'month': 1, 'day': 19, 'dayOfWeek': 0, 'hour': 17, 'min': 14, 'available': 0}
